Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
India Today, JEE Main 2019 to begin from April 7 These tips will help you score full marksThe National Testing Agency NTA will conduct the Joint Entrance JEE Main examination 2019 from April 7 to April 20,tips-and-tricks,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/tips-and-tricks/story/jee-main-2019-to-begin-from-april-7-these-tips-will-help-you-score-full-marks-1476119-2019-03-12,0,0.79
India Today, CBSE Class 12 History Board Exam Board examiner lists 8 common mistakes you could lose marks forBoard examiner with 35 years of teaching experience points out 8 silly errors students unnecessarily lose marks for in the Class 12 History paper,tips-and-tricks,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/tips-and-tricks/story/cbse-class-12-history-board-exam-board-examiner-lists-8-common-mistakes-you-could-lose-marks-for-1462528-2019-02-22,1,1.0
India Today, Subject wise preparation tips for NEET 2019The all India common medical exam NEET is scheduled for May 5 Here are subject wise tips for NEET 2019,tips-and-tricks,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/tips-and-tricks/story/subject-wise-preparation-tips-for-neet-2019-1483742-2019-03-22,2,1.0
India Today, UPSC Civil Services Prelims 2019 to be held on June 2 Important topics and concepts to studyThe Union Public Service Commission UPSC will conduct the Civil Services Prelims 2019 on June 2,tips-and-tricks,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/tips-and-tricks/story/upsc-civil-services-prelims-2019-to-be-held-on-june-2-important-topics-1458874-2019-02-18,3,0.83
India Today, CBSE Class 12 subject wise common mistakes for Humanities students Board examiners list silly errors in answer sheetsExperienced CBSE Board examiners point out silly mistakes students unnecessarily lose marks for in the Class 12 History Political Science Economics and Geography papers,tips-and-tricks,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/tips-and-tricks/story/cbse-class-12-subject-wise-common-mistakes-for-humanities-students-board-examiners-list-silly-errors-in-answer-sheets-1470546-2019-03-05,4,0.93
India Today, NEET 2019 to be held on May 5 Follow these tips to score high marksThe National Eligibility cum Entrance Test NEET will be conducted on May 5 2019,tips-and-tricks,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/tips-and-tricks/story/neet-2019-to-be-held-on-may-5-follow-these-tips-to-score-high-marks-1497481-2019-04-09,5,0.75
India Today, 15 tips for a high score in JEE Advanced 2019The JEE Advanced 2019 entrance exam is scheduled to be held on May 27 This year only 1 73 lakh students have registered for JEE Advanced 2019,tips-and-tricks,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/tips-and-tricks/story/15-tips-for-a-high-score-in-jee-advanced-2019-1534393-2019-05-25,6,0.72
India Today, Last minute tips to ace UPSC prelims 2019UPSC Prelims 2019 Here are some small but pertinent tips to sail through the tempest seamlessly,tips-and-tricks,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/tips-and-tricks/story/last-minute-tips-to-ace-upsc-prelims-2019-1539428-2019-05-31,7,1.0
India Today, Board exams 2019 Last minute tips for studentsHere are a few tips and tricks to score 95 in your CBSE board exams for classes 10 and 12,tips-and-tricks,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/tips-and-tricks/story/board-exams-2019-last-minute-tips-for-students-1460595-2019-02-20,8,0.63
India Today, Last minute tips for AIIMS MBBS entrance exam 2019Here are some last minute tips that can help students to enhance their chances of cracking AIIMS MBBS entrance examination,tips-and-tricks,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/tips-and-tricks/story/last-minute-tips-for-aiims-mbbs-entrance-exam-2019-1535513-2019-05-27,9,1.0
