Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
cnbc, India looks to set up body to monitor commercial borrowers says report The SPV will be bestowed with a large database of all the information available in public sector banks the report said quoting sources aware of the matter adding that the database will be used to develop a rating model to monitor borrowers ’ financial health,banking & finance,2019-06-19,01:04,https://www.cnbctv18.com/finance/india-looks-to-set-up-body-to-monitor-commercial-borrowers-says-report-3721621.htm,0,0.24
Indian Express, The pros and cons of investing in govt ’ s gold monetisation s,banking & finance,2019-06-14,12:05:57:00,https://indianexpress.com/article/business/banking-and-finance/the-pros-and-cons-of-investing-in-govts-gold-monetisation-scheme/,0,0.2
cnbc, Yes Bank CEO Ravneet Gill confident of full recovery from ADAG,banking & finance,2019-06-19,01:04,https://www.cnbctv18.com/finance/yes-bank-ceo-ravneet-gill-confident-of-full-recovery-from-adag-3711461.htm,0,0.19
cnbc, ICICI Bank moves NCLAT seeks expediting of IBC proceedings against Jaypee Associates ICICI Bank moved an application of Insolvency and Bankruptcy Code IBC against Jaypee Associates in September of 2018 and as of this stage even the application has not been allowed and,banking & finance,2019-06-19,01:04,https://www.cnbctv18.com/finance/icici-bank-moves-nclat-seeks-expediting-of-ibc-proceedings-against-jaypee-associates-3712451.htm,0,0.21
cnbc, We can resolve stressed assets issue by Q4 of FY20 says Union Bank of India,banking & finance,2019-06-19,01:04,https://www.cnbctv18.com/finance/we-can-resolve-stressed-assets-issue-by-q4-of-fy20-says-union-bank-of-india-3711631.htm,0,0.21
Indian Express, RBI eases norms for no balance accounts asks banks to include new facilities to account ho,banking & finance,2019-06-10,23:55:07:00,https://indianexpress.com/article/business/banking-and-finance/rbi-eases-norms-for-no-balance-accounts-asks-banks-to-include-new-facilities-to-account-holders-5774143/,1,0.36
Indian Express, RBI issues new NPA recognition,banking & finance,2019-06-07,19:51:41:00,https://indianexpress.com/article/business/banking-and-finance/rbi-npa-bad-loans-supreme-court-5770111/,1,0.27
cnbc, Yashovardhan Birla declared willful defaulter by UCO Bank In a public notice which also carried a photo of Yashovardhan Birla UCO Bank said the account was declared a non performing asset NPA on June 3 2019,banking & finance,2019-06-19,01:04,https://www.cnbctv18.com/finance/yashovardhan-birla-declared-willful-defaulter-by-uco-bank-3709071.htm,1,0.32
Indian Express, Reserve Bank sets up panel to examine ATM charges,banking & finance,2019-06-12,01:28:23:00,https://indianexpress.com/article/business/banking-and-finance/reserve-bank-sets-up-panel-to-examine-atm-charges-fees-5776012/,2,0.39
cnbc, RBI imposes Rs 1 crore fine on HDFC Bank for violation of KYC norms The Reserve Bank of India RBI on Tuesday fined countrys largest private sector lender HDFC Bank Rs 1 crore for not reporting frauds and non compliance with other directions,banking & finance,2019-06-19,01:04,https://www.cnbctv18.com/finance/rbi-imposes-rs-1-crore-fine-on-hdfc-bank-for-violation-of-kyc-norms-3731451.htm,2,0.42
