Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
The Luxe Cafe, Light it up with Osler chandeliers,home & style,2019-06-21,15:02,http://www.theluxecafe.com/home-style/home-interior-design/light-it-up-with-osler-chandeliers/,0,1.0
The Luxe Cafe, Cattaro ’ s bespoke homes in Gurgaon,home & style,2019-06-21,15:02,http://www.theluxecafe.com/home-style/luxury-real-estate-designer-homes/cattaros-bespoke-homes-in-gurgaon/,1,0.33
The Luxe Cafe, Vintage vignettes for your home,home & style,2019-06-21,15:02,http://www.theluxecafe.com/stories/vintage-vignettes-for-your-home/,2,0.57
The Luxe Cafe, Bring home some French vintage charm,home & style,2019-06-21,15:02,http://www.theluxecafe.com/stories/bring-home-some-french-vintage-charm/,2,0.44
The Luxe Cafe, Royal accents for your home,home & style,2019-06-21,15:02,http://www.theluxecafe.com/home-style/home-interior-design/royal-accents-for-your-home/,2,0.51
The Luxe Cafe, Suite taste of luxury,home & style,2019-06-21,15:02,http://www.theluxecafe.com/home-style/home-interior-design/suite-taste-of-luxury/,3,0.29
The Luxe Cafe, Luxury could be just a gadda and a cushion Vikram Goyal,home & style,2019-06-21,15:02,http://www.theluxecafe.com/stories/luxury-just-gadda-cushion-vikram-goyal/,3,0.28
The Luxe Cafe, Cozy Patio Décor Ideas,home & style,2019-06-21,15:02,http://www.theluxecafe.com/stories/home-style/home-interior-design/cozy-patio-decor-ideas/,4,0.56
The Luxe Cafe, Take On The Year With A Decor Upgrade,home & style,2019-06-21,15:02,http://www.theluxecafe.com/stories/take-on-the-year-with-a-decor-upgrade/,5,1.0
The Luxe Cafe, A princess brings some iconic cars to life on canvas,home & style,2019-06-21,15:02,http://www.theluxecafe.com/home-style/home-interior-design/a-princess-brings-some-iconic-cars-to-life-on-canvas/,6,0.53
The Luxe Cafe, Invest in a glowing piece of French art,home & style,2019-06-21,15:02,http://www.theluxecafe.com/home-style/home-interior-design/invest-in-a-glowing-piece-of-french-art/,7,0.55
The Luxe Cafe, Trendy tomes for your coffee table,home & style,2019-06-21,15:02,http://www.theluxecafe.com/home-style/home-interior-design/trendy-tomes-for-your-coffee-table/,8,1.0
The Luxe Cafe, Adil Ahmad Minimalism is an alien sensibility to Indians,home & style,2019-06-21,15:02,http://www.theluxecafe.com/stories/adil-ahmad-minimalism-alien-sensibility-indians/,9,1.0
The Luxe Cafe, On an antiquated trip,home & style,2019-06-21,15:02,http://www.theluxecafe.com/home-style/luxury-real-estate-designer-homes/on-an-antiquated-trip,10,1.0
The Luxe Cafe, Floating villas at the edge of reality,home & style,2019-06-21,15:02,http://www.theluxecafe.com/home-style/luxury-real-estate-designer-homes/floating-villas-skimming-the-edge-of-reality/,11,1.0
The Luxe Cafe, Fashion is not something compulsory Rosita Missoni,home & style,2019-06-21,15:02,http://www.theluxecafe.com/home-style/home-interior-design/fashion-is-not-something-compulsary/,12,1.0
The Luxe Cafe, Louis Vuitton Objets Nomades to dress up your abode,home & style,2019-06-21,15:02,http://www.theluxecafe.com/stories/louis-vuitton-objets-nomades-to-dress-up-your-abode/,13,1.0
The Luxe Cafe, An address where holiday meets home,home & style,2019-06-21,15:02,http://www.theluxecafe.com/home-style/luxury-real-estate-designer-homes/an-address-where-holiday-meets-home/,14,0.57
The Luxe Cafe, Stay in Style – A look at Dior first ever home collection,home & style,2019-06-21,15:02,http://www.theluxecafe.com/stories/stay-in-style-a-look-at-dior-first-ever-home-collection/,15,1.0
The Luxe Cafe, Sang e Casa letting nature lead,home & style,2019-06-21,15:02,http://www.theluxecafe.com/stories/sang-e-casa-letting-nature-lead/,16,1.0
The Luxe Cafe, Timeless tips for the perfect kids ’ room,home & style,2019-06-21,15:02,http://www.theluxecafe.com/stories/timeless-tips-for-the-perfect-kids-room/,17,1.0
The Luxe Cafe, John Hitchcox chairman of residential design and development firm YOO tells you how to choose the right home,home & style,2019-06-21,15:02,http://www.theluxecafe.com/home-style/home-interior-design/john-hitchcox-chairman-of-residential-design-and-development-firm-yoo-tells-you-how-to-choose-the-right-home/,18,0.35
The Luxe Cafe, India inspired wallpapers from French design house Pierre Frey,home & style,2019-06-21,15:02,http://www.theluxecafe.com/stories/india-inspired-wallpapers-from-french-design-house-pierre-frey/,18,0.33
