Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
The Hindu, Agriculture Minister blames Cong for farm crisis,budget,2019-02-01,22:34:00,https://www.thehindu.com/business/budget/agriculture-minister-blames-cong-for-farm-crisis/article26155400.ece,0,0.42
The Hindu, Interim Budget 2019 Farm pension just a drizzle in drought,budget,2019-02-02,02:06:00,https://www.thehindu.com/business/budget/farm-pension-just-a-drizzle-in-drought/article26155194.ece,0,0.39
The Hindu, Interim Budget 2019 promise File income tax returns get refund in 24 hours,budget,2019-02-01,22:26:00,https://www.thehindu.com/business/budget/interim-budget-2019-promise-file-income-tax-returns-get-refund-in-24-hours/article26155287.ece,1,1.0
The Hindu, Vision 2030 to push start EVs mass transportation,budget,2019-02-01,22:23:00,https://www.thehindu.com/business/budget/vision-2030-to-push-start-evs-mass-transportation/article26155239.ece,2,0.3
The Hindu, Railways gets ₹1 59 lakh cr the highest ever allocation,budget,2019-02-02,02:08:00,https://www.thehindu.com/business/railways-gets-159-lakh-cr-the-highest-ever-allocation/article26155866.ece,2,0.24
The Hindu, Interim Budget 2019 Allocation for textiles reduced,budget,2019-02-01,23:05:00,https://www.thehindu.com/business/budget/interim-budget-2019-allocation-for-textiles-reduced/article26155300.ece,2,0.2
The Hindu, Interim Budget 2019 Outlay for defence sector inches beyond ₹3 lakh crore,budget,2019-02-02,01:19:00,https://www.thehindu.com/business/budget/defence-budget-crosses-3-lakh-cr-for-the-first-time/article26155019.ece,2,0.26
The Hindu, Increased govt sourcing 2 subvention for loans a boost for MSMEs,budget,2019-02-01,22:09:00,https://www.thehindu.com/business/budget/increased-govt-sourcing-2-subvention-for-loans-a-boost-for-msmes/article26154911.ece,3,0.2
The Hindu, India Inc thumbs up to full ‘ Josh ’ budget,budget,2019-02-01,22:11:00,https://www.thehindu.com/business/budget/india-inc-thumbs-up-to-full-josh-budget/article26154952.ece,3,0.19
The Hindu, Distributing the rewards of reform,budget,2019-02-01,23:47:00,https://www.thehindu.com/opinion/lead/distributing-the-rewards-of-reform/article26155594.ece,3,0.17
The Hindu, Viewpoint Quality infra key for Ayushman Bharat,budget,2019-02-01,22:44:00,https://www.thehindu.com/business/budget/viewpoint-quality-infra-key-for-ayushman-bharat/article26155553.ece,4,0.88
The Hindu, Interim Budget 2019 an exercise aimed at pleasing farmers informal workers salaried taxpaye,budget,2019-02-02,13:24:00,https://www.thehindu.com/business/budget/interim-budget-2019-aimed-at-pleasing-farmers-informal-workers-salaried-taxpayers/article26149070.ece,5,0.53
The Hindu, AI centre on the anvil,budget,2019-02-01,22:57:00,https://www.thehindu.com/business/budget/ai-centre-on-the-anvil/article26154795.ece,6,1.0
The Hindu, Interim Budget 2019 Not really bullish on native cow breeds,budget,2019-02-02,02:50:00,https://www.thehindu.com/business/budget/750-crore-to-nurture-native-cow-breeds/article26155987.ece,7,0.21
The Hindu, Interim Budget 2019 New panel for welfare of nomadic communities,budget,2019-02-02,01:25:00,https://www.thehindu.com/business/budget/new-panel-for-welfare-of-nomadic-communities/article26155346.ece,7,0.22
The Hindu, Interim Budget 2019 Populist schemes breach convention says Opposition,budget,2019-02-02,09:10:00,https://www.thehindu.com/business/budget/opposition-slams-budget/article26154921.ece,7,0.21
The Hindu, Interim Budget 2019 Single window clearance for film makers to get cameras rolling,budget,2019-02-01,22:40:00,https://www.thehindu.com/business/budget/interim-budget-2019-single-window-clearance-for-film-makers-to-get-cameras-rolling/article26155516.ece,7,0.21
The Hindu, Interim Budget 2019 Stamp duty tweak may lower cost ease compliance,budget,2019-02-02,01:21:00,https://www.thehindu.com/business/budget/stamp-duty-tweak-may-lower-cost-ease-compliance/article26155327.ece,7,0.23
The Hindu, Interim Budget 2019 Lower middle income classes gain,budget,2019-02-01,22:50:00,https://www.thehindu.com/business/budget/interim-budget-2019-lower-middle-income-class-gain/article26155152.ece,7,0.33
The Hindu, Goyal gives ₹12500 relief to income tax paye,budget,2019-02-02,02:00:00,https://www.thehindu.com/business/budget/interim-budget-2019-piyush-goyal-gives-12500-relief-to-income-tax-payers/article26154981.ece,8,0.78
The Hindu, Change in fiscal deficit glide path may put Reserve Bank in a fix,budget,2019-02-01,22:14:00,https://www.thehindu.com/business/budget/change-in-fiscal-deficit-glide-path-may-put-reserve-bank-in-a-fix/article26155076.ece,9,0.55
The Hindu, All you wanted to know about the Budg,budget,2019-02-02,01:45:00,https://www.thehindu.com/business/all-you-wanted-to-know-about-the-budget/article11623999.ece,10,1.0
The Hindu, ₹17 DD to PMO as a protest,budget,2019-02-02,00:30:00,https://www.thehindu.com/business/budget/17-dd-to-pmo-as-a-protest/article26156277.ece,11,1.0
The Hindu, Viewpoint Not just an interim Budget,budget,2019-02-01,22:35:00,https://www.thehindu.com/business/budget/not-just-an-interim-budget/article26155443.ece,12,0.86
The Hindu, Budget is a high point in policy direction Jaitley,budget,2019-02-01,22:27:00,https://www.thehindu.com/business/budget/budget-is-a-high-point-in-policy-direction-jaitley/article26155306.ece,13,1.0
