Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
India Today, CBSE Class 12 Physics Board Exam 2018 Solve the sample paper hereThe Central Board of Secondary Education CBSE will be conducting the class 12 Physics board exam on March 7,sample-papers,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/sample-papers/story/cbse-class-12-physics-board-exam-2018-solve-the-sample-paper-here-1177782-2018-02-26,0,0.74
India Today, CBSE Economics Board Exam 2018 Solve the sample paper here The central board of secondary education has scheduled the class 12 economics board exam on March 26,sample-papers,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/sample-papers/story/cbse-economics-board-exam-2018-sample-paper-1156616-2018-01-29,0,0.72
India Today, CBSE Class 10 Mathematics Board Exam 2018 Solve the sample paper here The Central Board of Secondary Education CBSE will be conducting the class 10 mathematics exam on March 28,sample-papers,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/sample-papers/story/cbse-class-10-mathematics-board-exam-sample-paper-1149279-2018-01-19,0,0.72
India Today, CBSE Board Exams 2019 Check class 12 English sample paper hereIn order to give a clear idea to the students regarding the paper pattern CBSE has released the sample papers and marking scheme for Class 10 and Class 12 on its official website,sample-papers,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/sample-papers/story/cbse-board-exams-2019-1391781-2018-11-19,1,0.83
India Today, GATE 2017 Practice exclusive mock test papers hereIn order to score well in the exam the candidates can take the mock tests below,sample-papers,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/notification/story/gate-2017-mock-test-papers-956087-2017-01-20,2,1.0
India Today, CBSE Class 10 English Board Exam 2018 Sample PaperThe Central Board of Secondary Educations CBSE English Communicative and English language and literature class 10 exam is scheduled to be held on March 12,sample-papers,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/sample-papers/story/cbse-class-10-english-board-exam-2018-sample-paper-1147596-2018-01-17,3,1.0
India Today, CBSE Class 12 Biology Board Exam 2018 Sample PaperThe Central Board of Secondary Education CBSE will be conducting the class 12 biology exam on March 27,sample-papers,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/sample-papers/story/cbse-class-12-biology-board-exam-2018-sample-paper-1151366-2018-01-22,4,0.8
India Today, CBSE Class 12 Exam 2019 Check the sample paper for Business Studies hereCBSE Exams 2019 The students who are currently studying in Class 12 and are in Commerce Stream can check the Business Studies sample paper to prepare well for the exams,sample-papers,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/sample-papers/story/cbse-2019-bst-class12-1392440-2018-11-20,5,1.0
India Today, CBSE Class 10 Hindi Board Exam 2018 Sample PaperCentral Board of Secondary Education CBSE will conduct Hindi A and Hindi B class 10 board exams on March 6,sample-papers,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/sample-papers/story/cbse-class-10-hindi-board-exam-2018-sample-paper-1147599-2018-01-17,6,0.73
India Today, UPSC IAS Mains to begin on December 18 Sample PapersThe exam shall be held at 23 centres across the nation,sample-papers,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/tips-and-tricks/story/upsc-ias-mains-sample-papers-277031-2015-12-14,7,1.0
