Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
cnbc, Ringleader of Indian college students held in 1 million US tech support scam gets 5 years in prison,legal,2019-06-19,01:04,https://www.cnbctv18.com/legal/ringleader-of-indian-college-students-held-in-1-million-us-tech-support-scam-gets-5-years-in-prison-2-3648081.htm,0,0.56
cnbc, IL FS scam Govt mounts fresh bid to get Deloitte BSR banned The corporate affairs ministry on Monday filed fresh applications at NCLT to debar Deloitte Haskins Sells and BSR Associates an arm of KPMG who are the auditors of IL FS Financial Services from auditing for five years and also to appoint a new auditor for the crippled company,legal,2019-06-19,01:04,https://www.cnbctv18.com/finance/ilfs-scam-govt-mounts-fresh-bid-to-get-deloitte-bsr-banned-3642601.htm,1,0.37
cnbc, IL FS Case Setback for previous management SC allows reopening of accounts of last 5 years,legal,2019-06-19,01:04,https://www.cnbctv18.com/legal/ilfs-case-setback-for-previous-management-sc-allows-reopening-of-accounts-of-last-5-years-3577571.htm,1,0.34
cnbc, SFIO probe finds IL FS Financial Services violated RBI rules says report A probe conducted by the Serious Fraud Investigation Office SFIO has found that IL FS Financial Services IFIN the unit of debt laden IL FS gave out loans in exchange of favours and violated RBI lending guidelines reported LiveMint,legal,2019-06-19,01:04,https://www.cnbctv18.com/finance/sfio-probe-finds-ilfs-financial-services-violated-rbi-rules-says-report-3572151.htm,1,0.42
cnbc, Delhi HC imposes Rs 10 lakh cost on Policybazaar for concealing facts to obtain interim order,legal,2019-06-19,01:04,https://www.cnbctv18.com/legal/delhi-hc-imposes-rs-10-lakh-cost-on-policybazaar-for-concealing-facts-to-obtain-interim-order-3578681.htm,2,0.55
cnbc, PNB fraud UK High Court hears fugitive diamond merchant Nirav Modis bail appeal final ruling on June 12 The UK High Court on Tuesday heard fugitive diamond merchant Nirav Modis appeal against a lower courts order to deny him bail as he fights his extradition from Britain to India,legal,2019-06-19,01:04,https://www.cnbctv18.com/legal/pnb-fraud-uk-high-court-hears-fugitive-diamond-merchant-nirav-modis-bail-appeal-final-ruling-on-june-12-3655111.htm,3,0.64
cnbc, Manpreet Chadha of Wave Group arrested at Delhi Airport,legal,2019-06-19,01:04,https://www.cnbctv18.com/legal/manpreet-chadha-of-wave-group-arrested-at-delhi-airport-3674151.htm,4,0.41
cnbc, Wave Group VC Monty Chadhas bail plea rejected sent to judicial custody Duty Metropolitan Magistrate Paras Dalal also rejected Delhi Polices plea seeking Monty Chadhas three day police custody,legal,2019-06-19,01:04,https://www.cnbctv18.com/legal/wave-group-vc-bail-plea-rejected-sent-to-judicial-custody-3687071.htm,4,0.38
cnbc, Former UEFA chief Michel Platini arrested over awarding of World Cup 2022 to Qatar Prosecutors are investigation suspected corruption and bribery in the process of awarding the 2022 World Cup to Gulf emirate of Qatar,legal,2019-06-19,01:04,https://www.cnbctv18.com/sports/former-uefa-chief-michel-platini-arrested-over-awarding-of-world-cup-2022-to-qatar-3725681.htm,4,0.38
cnbc, Vedanta to challenge winding up of Zambian business in court According to a notice filed in court on June 6 Vedanta wants to be represented by lawyers Nchito Nchito and not those appointed by the provisional liquidator,legal,2019-06-19,01:04,https://www.cnbctv18.com/infrastructure/vedanta-to-challenge-winding-up-of-zambian-business-in-court-3648351.htm,5,1.0
